Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
I Sharma,2010-2025,8,-,-,-,-,-,-,-,-,-,-,-,-
Shivam Mavi,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-
Shivam Sharma,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
Simarjeet Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,2014-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
Suryansh Shedge,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
P Suyal,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Sharma,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
AP Tare,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
Yash Thakur,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
SK Trivedi,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,-
JD Unadkat,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
CV Varun,2021-2024,4,-,-,-,-,-,-,-,-,-,-,-,-
R Vinay Kumar,2014-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
V Vyshak,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
D Wiese,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
L Wood,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Lalit Yadav,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-
Yash Dayal,2022-2024,6,-,-,-,-,-,-,-,-,-,-,-,-
A Zampa,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DA Warner,2010-2024,36,36,4,1048,107*,32.75,823,127.33,1,9,2,119,31
RR Pant,2016-2024,29,29,3,978,128*,37.61,611,160.06,1,6,2,82,58
V Sehwag,2008-2015,33,33,2,933,95*,30.09,563,165.71,0,7,2,116,38
SS Iyer,2015-2019,29,29,3,855,93*,32.88,673,127.04,0,7,2,59,42
S Dhawan,2008-2023,22,22,3,726,92*,38.21,554,131.04,0,8,1,83,19
G Gambhir,2008-2018,20,19,1,672,86,37.33,501,134.13,0,6,0,76,11
KD Karthik,2008-2023,29,25,2,647,69,28.13,477,135.63,0,6,1,58,27
AR Patel,2014-2025,26,26,10,570,66,35.62,397,143.57,0,2,0,41,32
SV Samson,2013-2025,21,21,1,544,86,27.2,417,130.45,0,3,2,45,25
V Kohli,2008-2025,11,11,3,534,99,66.75,379,140.89,0,7,0,55,14
KK Nair,2014-2025,19,18,1,532,89,31.29,382,139.26,0,4,2,71,11
RG Sharma,2008-2025,16,16,1,454,73,30.26,338,134.31,0,3,0,39,19
PP Shaw,2018-2024,20,20,0,431,99,21.55,299,144.14,0,2,0,59,11
JP Duminy,2012-2016,15,13,5,403,78*,50.37,323,124.76,0,1,0,23,16
DPMD Jayawardene,2008-2013,17,17,3,389,59,27.78,333,116.81,0,3,0,47,6
SK Raina,2008-2021,13,13,4,370,82*,41.11,259,142.85,0,2,0,32,16
CH Gayle,2010-2019,7,7,2,367,128*,73.4,219,167.57,1,2,0,29,28
KP Pietersen,2010-2014,11,11,3,353,103*,44.12,242,145.86,1,1,1,30,21
Abishek Porel,2023-2025,11,10,0,336,65,33.6,207,162.31,0,2,0,33,15
Q de Kock,2014-2024,12,12,2,312,70*,31.2,246,126.82,0,2,0,36,9
AT Rayudu,2010-2023,12,10,2,309,72*,38.62,197,156.85,0,3,0,25,18
KM Jadhav,2010-2023,23,19,7,294,33,24.5,241,121.99,0,0,2,21,11
AM Rahane,2012-2025,11,9,2,280,84*,40,223,125.56,0,2,1,27,6
MK Pandey,2012-2023,14,11,2,278,69*,30.88,220,126.36,0,2,2,23,7
KA Pollard,2010-2021,12,11,5,271,87*,45.16,153,177.12,0,2,0,18,19
JC Buttler,2016-2024,5,5,0,253,124,50.6,145,174.48,1,1,0,20,19
T Stubbs,2024-2025,9,9,4,252,57*,50.4,131,192.36,0,1,0,22,14
F du Plessis,2012-2025,7,6,0,250,62,41.66,181,138.12,0,3,0,25,8
DA Miller,2012-2024,12,12,4,248,55,31,200,124,0,1,0,20,8
KH Pandya,2016-2025,7,7,2,239,73*,47.8,160,149.37,0,1,0,21,10
NV Ojha,2010-2017,21,20,5,236,34,15.73,207,114,0,0,0,16,14
DR Smith,2008-2017,7,7,0,235,79,33.57,145,162.06,0,3,0,20,16
Y Venugopal Rao,2008-2013,12,10,2,235,40,29.37,188,125,0,0,0,26,5
Yuvraj Singh,2008-2018,11,10,2,232,70*,29,179,129.6,0,1,0,26,9
J Fraser-McGurk,2024-2025,7,7,0,231,84,33,88,262.5,0,3,2,27,18
MK Tiwary,2008-2017,12,10,5,227,61*,45.4,178,127.52,0,2,1,21,6
RV Uthappa,2008-2019,10,10,1,227,72,25.22,161,140.99,0,1,0,24,6
BB McCullum,2011-2017,6,6,0,218,60,36.33,166,131.32,0,2,0,28,5
AD Russell,2012-2025,9,7,1,216,62,36,131,164.88,0,1,0,13,19
PA Patel,2010-2019,10,10,1,207,45,23,159,130.18,0,0,0,30,3
PD Collingwood,2010-2010,5,5,2,199,75*,66.33,148,134.45,0,3,0,9,13
SA Yadav,2014-2025,12,11,0,198,40,18,139,142.44,0,0,1,18,8
IK Pathan,2008-2014,24,18,7,193,36,17.54,181,106.62,0,0,2,13,7
SR Tendulkar,2008-2013,5,5,1,188,63,47,152,123.68,0,2,0,20,4
LRPL Taylor,2008-2012,9,9,0,187,55,20.77,146,128.08,0,1,1,12,9
MS Dhoni,2008-2023,12,9,3,186,44,31,166,112.04,0,0,0,13,5
MA Agarwal,2012-2023,11,10,1,177,52*,19.66,156,113.46,0,1,0,21,4
Abhishek Sharma,2018-2024,5,5,2,176,67,58.66,81,217.28,0,1,0,17,12
PD Salt,2023-2023,5,5,0,175,87,35,106,165.09,0,2,0,21,6
CH Morris,2013-2021,15,8,3,170,82*,34,88,193.18,0,1,1,11,13
V Shankar,2018-2023,10,9,5,170,43*,42.5,136,125,0,0,0,14,5
R Dravid,2008-2013,5,5,0,169,65,33.8,138,122.46,0,1,0,20,3
YK Pathan,2008-2019,11,9,3,166,59,27.66,129,128.68,0,1,0,18,5
NT Tilak Varma,2023-2025,3,3,0,163,63,54.33,94,173.4,0,2,0,11,11
RA Jadeja,2008-2023,14,9,6,159,29,53,122,130.32,0,0,0,10,7
JH Kallis,2008-2014,5,5,1,159,54,39.75,130,122.3,0,2,0,18,2
HH Pandya,2015-2025,10,9,2,159,46,22.71,88,180.68,0,0,1,10,12
RD Gaikwad,2021-2023,3,3,0,158,79,52.66,98,161.22,0,2,0,16,7
SW Billings,2016-2018,5,5,0,155,55,31,111,139.63,0,2,0,15,4
Y Nagar,2011-2012,12,10,2,155,27,19.37,119,130.25,0,0,1,12,7
KS Williamson,2017-2021,4,4,2,153,83*,76.5,108,141.66,0,1,0,14,4
MEK Hussey,2013-2013,2,2,2,151,86*,-,108,139.81,0,2,0,16,4
KL Rahul,2014-2025,8,7,0,141,41,20.14,116,121.55,0,0,0,12,4
AB de Villiers,2008-2019,9,7,2,139,72*,27.8,90,154.44,0,1,1,9,9
M Vijay,2010-2016,9,9,1,133,35,16.62,113,117.69,0,0,1,12,3
SE Marsh,2008-2016,5,5,0,128,95,25.6,86,148.83,0,1,0,15,6
B Sai Sudharsan,2023-2024,2,2,1,127,65,127,87,145.97,0,2,0,11,4
SR Watson,2008-2019,6,6,2,123,44,30.75,93,132.25,0,0,0,12,6
CJ Anderson,2017-2017,6,6,3,114,41*,38,80,142.5,0,0,0,7,8
MR Marsh,2010-2023,6,6,0,111,63,18.5,92,120.65,0,1,0,5,7
KC Sangakkara,2010-2013,4,4,0,111,49,27.75,100,111,0,0,0,16,1
DJ Hussey,2010-2013,4,4,1,109,40*,36.33,98,111.22,0,0,0,8,5
R Parag,2019-2025,5,5,2,108,50,36,97,111.34,0,1,0,7,6
BJ Hodge,2011-2013,4,4,2,105,54*,52.5,67,156.71,0,1,0,8,6
SS Tiwary,2010-2016,6,4,1,105,61,35,79,132.91,0,1,0,7,5
AD Mathews,2010-2017,9,7,2,103,28,20.6,68,151.47,0,0,1,11,3
Prabhsimran Singh,2023-2023,1,1,0,103,103,103,65,158.46,1,0,0,10,6
JR Hopes,2008-2011,6,4,1,100,54,33.33,93,107.52,0,1,0,8,2
Mandeep Singh,2010-2023,7,6,0,100,30,16.66,83,120.48,0,0,1,11,3
YBK Jaiswal,2021-2025,4,4,0,99,51,24.75,72,137.5,0,1,0,8,6
WP Saha,2010-2024,7,7,1,99,39,16.5,82,120.73,0,0,0,11,2
UBT Chand,2011-2015,5,5,0,96,41,19.2,77,124.67,0,0,1,10,3
AJ Finch,2011-2018,7,7,0,94,50,13.42,80,117.5,0,1,1,12,2
GJ Maxwell,2014-2023,10,10,0,94,27,9.4,83,113.25,0,0,3,7,4
ML Hayden,2010-2010,1,1,0,93,93,93,43,216.27,0,1,0,9,7
MC Henriques,2013-2017,5,4,1,93,31,31,67,138.8,0,0,0,8,2
TM Head,2017-2024,2,2,0,91,89,45.5,34,267.64,0,1,0,11,6
DJ Hooda,2015-2024,6,5,0,89,54,17.8,60,148.33,0,1,1,4,6
DP Conway,2023-2023,1,1,0,87,87,87,52,167.3,0,1,0,11,3
JD Ryder,2012-2012,1,1,0,86,86,86,58,148.27,0,1,0,7,4
M Vohra,2013-2017,5,5,0,86,42,17.2,67,128.35,0,0,0,10,3
JM Bairstow,2019-2021,3,3,0,85,48,28.33,54,157.4,0,0,0,14,2
SD Hope,2024-2024,4,4,0,85,41,21.25,51,166.66,0,0,0,4,7
A Mishra,2008-2019,45,13,8,84,16*,16.8,89,94.38,0,0,0,3,2
M Manhas,2008-2014,7,4,1,82,32*,27.33,75,109.33,0,0,0,8,0
SPD Smith,2012-2017,4,3,1,82,38,41,54,151.85,0,0,0,10,3
S Dube,2019-2023,3,3,0,81,35,27,56,144.64,0,0,0,2,7
LMP Simmons,2015-2017,2,2,0,81,66,40.5,57,142.1,0,1,0,8,4
TM Dilshan,2008-2012,8,8,0,77,17,9.62,68,113.23,0,0,2,11,1
MM Ali,2018-2023,4,3,0,74,58,24.66,47,157.44,0,1,0,8,5
ST Jayasuriya,2008-2010,2,2,0,73,66,36.5,52,140.38,0,1,0,7,5
AC Gilchrist,2008-2013,4,4,0,72,42,18,54,133.33,0,0,0,14,1
CA Ingram,2011-2019,7,7,1,72,19,12,68,105.88,0,0,0,7,1
H Klaasen,2019-2024,3,3,1,71,53*,35.5,38,186.84,0,1,0,2,6
CL White,2010-2013,4,4,1,70,31*,23.33,72,97.22,0,0,0,7,1
TH David,2023-2025,3,3,2,69,37,69,33,209.09,0,0,0,5,5
MF Maharoof,2008-2010,8,5,1,67,28,16.75,44,152.27,0,0,2,6,4
P Negi,2012-2017,8,7,6,67,19*,67,45,148.88,0,0,0,7,2
DJ Bravo,2010-2019,8,7,2,66,22,13.2,58,113.79,0,0,0,6,1
JJ Roy,2018-2023,3,3,0,66,43,22,61,108.19,0,0,0,8,2
V Nigam,2025-2025,4,3,0,64,38,21.33,33,193.93,0,0,0,6,4
N Rana,2017-2025,5,4,0,64,51,16,44,145.45,0,1,0,8,2
SP Narine,2012-2025,9,6,2,63,27,15.75,38,165.78,0,0,0,4,5
Ishan Kishan,2016-2024,5,5,0,62,31,12.4,65,95.38,0,0,0,10,0
MK Lomror,2019-2023,2,2,1,62,54*,62,32,193.75,0,1,0,8,3
S Sohal,2011-2011,1,1,0,62,62,62,41,151.21,0,1,0,8,1
N Pooran,2024-2024,1,1,0,61,61,61,27,225.92,0,1,0,6,4
Shubman Gill,2018-2024,4,4,0,61,37,15.25,52,117.3,0,0,0,7,1
HV Patel,2012-2023,9,3,2,60,36*,60,33,181.81,0,0,0,1,6
Shahbaz Ahmed,2024-2024,1,1,1,59,59*,-,29,203.44,0,1,0,2,5
Arshad Khan,2023-2024,2,1,1,58,58*,-,33,175.75,0,1,0,3,5
CR Brathwaite,2016-2016,3,2,0,54,34,27,19,284.21,0,0,0,3,6
A Symonds,2010-2010,1,1,0,54,54,54,30,180,0,1,0,3,5
C Munro,2016-2019,4,4,0,52,33,13,45,115.55,0,0,1,5,2
Abdul Samad,2021-2024,3,3,0,51,28,17,37,137.83,0,0,0,2,4
JP Faulkner,2013-2017,5,4,2,51,22*,25.5,38,134.21,0,0,0,6,0
MC Juneja,2013-2013,4,4,0,51,20,12.75,63,80.95,0,0,0,2,1
SN Khan,2015-2023,4,3,0,50,30,16.66,52,96.15,0,0,0,5,0
E Lewis,2018-2018,1,1,0,48,48,48,31,154.83,0,0,0,3,4
R Bhatia,2008-2016,11,4,1,47,21,15.66,32,146.87,0,0,0,2,3
PP Chawla,2008-2024,11,6,1,47,12,9.4,35,134.28,0,0,0,5,2
BCJ Cutting,2016-2019,4,4,0,47,37,11.75,32,146.87,0,0,1,3,3
SC Ganguly,2010-2012,2,2,0,46,41,23,45,102.22,0,0,0,6,1
PJ Cummins,2017-2024,7,6,2,44,12*,11,30,146.66,0,0,0,2,3
SP Fleming,2008-2008,1,1,0,44,44,44,28,157.14,0,0,0,7,0
A Raghuvanshi,2025-2025,1,1,0,44,44,44,32,137.5,0,0,0,3,2
DJM Short,2018-2018,1,1,0,44,44,44,25,176,0,0,0,2,4
R Tewatia,2018-2024,8,4,1,44,24,14.66,42,104.76,0,0,0,3,1
STR Binny,2013-2019,5,4,0,43,40,10.75,29,148.27,0,0,1,2,3
LA Pomersbach,2008-2013,2,2,1,43,25*,43,22,195.45,0,0,0,3,3
RK Singh,2023-2025,2,2,0,42,36,21,33,127.27,0,0,0,4,1
Bipul Sharma,2016-2016,2,2,2,41,27*,-,17,241.17,0,0,0,0,5
Mohammad Nabi,2019-2024,3,3,1,41,17*,20.5,18,227.77,0,0,0,3,4
RD Rickelton,2025-2025,1,1,0,41,41,41,25,164,0,0,0,5,2
SE Rutherford,2019-2019,3,3,2,41,28*,41,21,195.23,0,0,0,1,4
AR Sharma,2025-2025,4,4,1,41,17,13.66,34,120.58,0,0,0,4,1
RR Rossouw,2023-2023,4,4,1,40,35*,13.33,29,137.93,0,0,2,2,3
S Vidyut,2008-2008,1,1,0,40,40,40,23,173.91,0,0,0,6,1
DL Vettori,2008-2011,5,3,2,39,19*,39,40,97.5,0,0,0,3,1
Naman Dhir,2025-2025,1,1,1,38,38*,-,17,223.52,0,0,0,3,2
S Badrinath,2008-2013,5,3,1,37,15,18.5,36,102.77,0,0,0,5,1
K Nitish Kumar Reddy,2024-2024,1,1,0,37,37,37,27,137.03,0,0,0,2,2
MP Stoinis,2019-2024,2,2,1,37,32*,37,31,119.35,0,0,0,2,2
DT Christian,2011-2018,4,4,0,36,19,9,46,78.26,0,0,0,1,0
M Morkel,2011-2016,18,9,4,36,19,7.2,26,138.46,0,0,3,4,1
TR Birt,2011-2011,2,2,0,35,27,17.5,26,134.61,0,0,0,5,0
Gurkeerat Singh,2012-2019,2,2,0,35,27,17.5,24,145.83,0,0,0,4,1
Kuldeep Yadav,2016-2025,20,10,6,35,10*,8.75,36,97.22,0,0,3,3,0
BA Stokes,2017-2018,2,2,0,34,33,17,27,125.92,0,0,0,3,2
Mohammed Shami,2014-2023,16,7,4,33,21,11,24,137.5,0,0,0,3,2
Shahid Afridi,2008-2008,1,1,0,33,33,33,14,235.71,0,0,0,3,2
R Ashwin,2010-2024,9,4,0,32,16,8,29,110.34,0,0,0,3,0
JA Morkel,2008-2013,5,3,1,32,30,16,21,152.38,0,0,1,2,3
BJ Rohrer,2013-2013,1,1,0,32,32,32,27,118.51,0,0,0,4,0
Aman Hakim Khan,2023-2023,5,4,0,31,16,7.75,37,83.78,0,0,1,2,2
MV Boucher,2008-2008,1,1,1,31,31*,-,17,182.35,0,0,0,2,2
LR Shukla,2012-2014,4,3,0,31,21,10.33,38,81.57,0,0,1,2,1
B Chipli,2011-2012,2,2,2,30,25*,-,20,150,0,0,0,3,1
UT Khawaja,2016-2016,1,1,0,30,30,30,27,111.11,0,0,0,2,1
NLTC Perera,2013-2016,4,4,1,30,14*,10,21,142.85,0,0,0,1,3
AB Agarkar,2010-2013,10,5,2,29,17,9.66,29,100,0,0,1,1,0
DJG Sammy,2013-2013,1,1,0,29,29,29,21,138.09,0,0,0,0,3
SB Styris,2008-2008,1,1,0,29,29,29,28,103.57,0,0,0,2,0
MN Samuels,2017-2017,4,3,0,28,27,9.33,27,103.7,0,0,1,1,2
MM Sharma,2013-2025,8,4,1,28,15,9.33,23,121.73,0,0,1,2,1
DC Jurel,2025-2025,1,1,0,26,26,26,17,152.94,0,0,0,0,2
Rahmanullah Gurbaz,2025-2025,1,1,0,26,26,26,12,216.66,0,0,0,5,1
D Salunkhe,2008-2008,1,1,1,26,26*,-,20,130,0,0,0,4,0
RA Tripathi,2017-2023,3,3,0,26,10,8.66,20,130,0,0,0,2,1
SB Dubey,2024-2025,2,1,0,25,25,25,12,208.33,0,0,0,2,2
CA Lynn,2018-2019,2,2,0,25,20,12.5,24,104.16,0,0,0,4,0
MD Mishra,2010-2010,1,1,0,25,25,25,19,131.57,0,0,0,2,1
GJ Bailey,2014-2016,3,2,0,24,18,12,23,104.34,0,0,0,3,0
K Gowtham,2018-2019,2,2,1,24,18*,24,12,200,0,0,0,3,1
Harbhajan Singh,2010-2019,10,4,0,24,15,6,27,88.88,0,0,2,2,1
CA Pujara,2011-2013,2,2,0,24,17,12,29,82.75,0,0,0,3,0
AP Tare,2010-2013,2,2,0,24,17,12,17,141.17,0,0,0,1,2
A Nehra,2008-2013,6,2,1,23,22*,23,20,115,0,0,0,2,1
HH Gibbs,2008-2008,1,1,0,22,22,22,22,100,0,0,0,1,2
SP Goswami,2011-2018,3,1,0,22,22,22,20,110,0,0,0,4,0
Harpreet Brar,2019-2023,2,2,1,22,20*,22,17,129.41,0,0,0,2,1
MG Johnson,2013-2018,3,3,1,22,12*,11,25,88,0,0,0,2,0
EJG Morgan,2011-2017,2,2,0,22,22,11,21,104.76,0,0,1,3,0
R Powell,2023-2025,3,3,0,22,13,7.33,19,115.78,0,0,0,3,1
RN ten Doeschate,2011-2015,3,2,1,22,19,22,14,157.14,0,0,0,2,1
Rashid Khan,2017-2024,7,2,1,21,21*,21,13,161.53,0,0,1,3,1
SM Curran,2019-2023,4,2,0,20,20,10,28,71.42,0,0,1,1,0
P Dogra,2010-2010,1,1,0,20,20,20,25,80,0,0,0,0,1
GH Vihari,2013-2019,3,3,0,20,17,6.66,34,58.82,0,0,0,0,1
HM Amla,2017-2017,1,1,0,19,19,19,12,158.33,0,0,0,4,0
Gulbadin Naib,2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1
MS Wade,2011-2011,2,2,0,19,11,9.5,29,65.51,0,0,0,0,0
Lalit Yadav,2023-2024,4,4,1,19,7,6.33,31,61.29,0,0,0,1,0
M Klinger,2011-2011,1,1,0,18,18,18,20,90,0,0,0,3,0
LS Livingstone,2019-2023,2,2,0,18,14,9,18,100,0,0,0,2,1
AM Nayar,2008-2011,2,2,1,18,17*,18,16,112.5,0,0,0,3,0
P Sahu,2016-2016,1,1,1,18,18*,-,12,150,0,0,0,1,1
RE van der Merwe,2011-2013,5,3,2,18,8*,18,18,100,0,0,0,2,0
C Green,2023-2023,1,1,1,17,17*,-,8,212.5,0,0,0,1,1
SL Malinga,2010-2019,8,3,1,17,11,8.5,25,68,0,0,1,2,0
UT Yadav,2010-2023,30,9,4,17,6*,3.4,26,65.38,0,0,2,2,0
A Ashish Reddy,2013-2013,1,1,0,16,16,16,9,177.77,0,0,0,2,0
P Dubey,2023-2023,1,1,0,16,16,16,20,80,0,0,0,2,0
AJ Hosein,2023-2023,1,1,1,16,16*,-,10,160,0,0,0,1,1
SM Pollock,2008-2008,1,1,0,16,16,16,15,106.66,0,0,0,2,0
YV Dhull,2023-2023,2,2,0,15,13,7.5,19,78.94,0,0,0,1,0
SO Hetmyer,2025-2025,1,1,1,15,15*,-,9,166.66,0,0,0,1,0
B Kumar,2014-2025,10,2,1,15,14*,15,12,125,0,0,0,2,0
N Saini,2012-2012,1,1,0,15,15,15,15,100,0,0,0,2,0
DW Steyn,2008-2014,6,3,2,15,9*,15,10,150,0,0,0,1,0
AC Voges,2010-2010,1,1,0,15,15,15,17,88.23,0,0,0,1,0
AD Hales,2018-2018,1,1,0,14,14,14,10,140,0,0,0,3,0
P Kumar,2008-2016,6,2,0,14,8,7,10,140,0,0,0,2,0
AB McDonald,2010-2010,2,1,1,14,14*,-,9,155.55,0,0,0,2,0
MDKJ Perera,2013-2013,1,1,0,14,14,14,12,116.66,0,0,0,3,0
BB Samantray,2013-2013,1,1,0,14,14,14,11,127.27,0,0,0,2,0
R Sathish,2010-2016,4,3,1,14,8,7,16,87.5,0,0,0,1,0
R Sharma,2010-2014,3,1,1,14,14*,-,8,175,0,0,0,2,0
PC Valthaty,2011-2011,1,1,0,14,14,14,10,140,0,0,0,0,2
SK Warne,2008-2010,2,2,0,14,14,7,14,100,0,0,1,2,0
Yudhvir Singh,2024-2024,1,1,0,14,14,14,7,200,0,0,0,1,1
MS Gony,2008-2008,1,1,1,13,13*,-,5,260,0,0,0,1,1
R Sai Kishore,2024-2024,1,1,0,13,13,13,6,216.66,0,0,0,0,2
J Syed Mohammad,2011-2013,2,1,1,13,13*,-,10,130,0,0,0,2,0
JG Bethell,2025-2025,1,1,0,12,12,12,6,200,0,0,0,1,1
J Botha,2013-2013,3,3,0,12,9,4,19,63.15,0,0,0,1,0
PK Garg,2023-2023,1,1,0,12,12,12,9,133.33,0,0,0,1,0
S Gopal,2018-2019,2,1,0,12,12,12,18,66.66,0,0,0,0,0
BMAJ Mendis,2013-2013,1,1,0,12,12,12,17,70.58,0,0,0,0,0
S Narwal,2010-2010,1,1,0,12,12,12,9,133.33,0,0,0,2,0
K Rabada,2017-2019,9,3,0,12,9,4,17,70.58,0,0,1,0,1
Sachin Baby,2017-2017,1,1,0,12,12,12,8,150,0,0,0,2,0
RV Patel,2023-2023,2,1,1,11,11*,-,8,137.5,0,0,0,1,0
Sandeep Sharma,2014-2025,10,3,3,11,8*,-,10,110,0,0,0,1,0
Sikandar Raza,2023-2023,1,1,1,11,11*,-,7,157.14,0,0,0,0,1
SW Tait,2010-2010,1,1,0,11,11,11,12,91.66,0,0,0,0,1
W Jaffer,2008-2008,1,1,0,10,10,10,9,111.11,0,0,0,0,1
M Shahrukh Khan,2023-2024,2,2,0,10,8,5,9,111.11,0,0,0,0,1
SK Trivedi,2008-2013,4,2,2,10,7*,-,12,83.33,0,0,0,0,1
Azhar Mahmood,2012-2012,1,1,0,9,9,9,7,128.57,0,0,0,1,0
M Kaif,2008-2008,1,1,0,9,9,9,19,47.36,0,0,0,0,0
AK Markram,2023-2024,2,2,0,9,8,4.5,16,56.25,0,0,0,0,0
A Nortje,2023-2024,7,4,2,9,5,4.5,8,112.5,0,0,1,2,0
Rasikh Salam,2024-2024,4,1,0,9,9,9,3,300,0,0,0,2,0
DB Ravi Teja,2008-2011,2,1,0,9,9,9,5,180,0,0,0,0,1
Shoaib Malik,2008-2008,3,3,1,9,6,4.5,8,112.5,0,0,0,1,0
L Wood,2024-2024,1,1,1,9,9*,-,3,300,0,0,0,0,1
Anuj Rawat,2021-2023,2,1,1,8,8*,-,3,266.66,0,0,0,0,1
Anureet Singh,2015-2015,1,1,1,8,8*,-,3,266.66,0,0,0,0,1
R Dhawan,2014-2023,2,2,2,8,8*,-,5,160,0,0,0,1,0
CK Kapugedera,2008-2008,1,1,0,8,8,8,9,88.88,0,0,0,0,0
TG Southee,2015-2018,3,2,2,8,7*,-,5,160,0,0,0,1,0
Avesh Khan,2017-2024,6,1,1,7,7*,-,3,233.33,0,0,0,1,0
VR Iyer,2023-2025,2,2,0,7,7,3.5,7,100,0,0,1,1,0
T Kohli,2008-2008,1,1,0,7,7,7,12,58.33,0,0,0,0,1
NS Naik,2019-2019,1,1,0,7,7,7,16,43.75,0,0,0,1,0
B Sumanth,2010-2010,1,1,1,7,7*,-,12,58.33,0,0,0,0,0
SN Thakur,2015-2021,6,1,1,7,7*,-,6,116.66,0,0,0,1,0
A Badoni,2024-2024,1,1,0,6,6,6,9,66.66,0,0,0,0,0
NM Coulter-Nile,2015-2021,7,2,0,6,4,3,10,60,0,0,0,1,0
JO Holder,2016-2016,2,2,0,6,6,3,8,75,0,0,1,1,0
AA Jhunjhunwala,2010-2012,2,2,0,6,4,3,10,60,0,0,0,1,0
Mukesh Kumar,2023-2025,15,2,2,6,6*,-,9,66.66,0,0,0,0,0
S Nadeem,2011-2018,24,6,3,6,2*,2,23,26.08,0,0,1,0,0
RM Patidar,2025-2025,1,1,0,6,6,6,6,100,0,0,0,1,0
IS Sodhi,2019-2019,1,1,0,6,6,6,11,54.54,0,0,0,0,0
Washington Sundar,2017-2024,3,3,2,6,5*,6,5,120,0,0,0,0,0
ER Dwivedi,2016-2016,1,1,0,5,5,5,5,100,0,0,0,1,0
A Mithun,2010-2011,2,2,0,5,5,2.5,6,83.33,0,0,1,1,0
PJ Sangwan,2008-2017,7,2,1,5,4,5,10,50,0,0,0,0,0
JM Sharma,2023-2025,2,1,0,5,5,5,5,100,0,0,0,1,0
TL Suman,2010-2010,1,1,0,5,5,5,6,83.33,0,0,0,1,0
VR Aaron,2011-2019,8,2,1,4,3*,4,8,50,0,0,0,0,0
P Awana,2012-2013,2,1,1,4,4*,-,5,80,0,0,0,0,0
C de Grandhomme,2017-2018,2,2,1,4,3*,4,6,66.66,0,0,0,0,0
JM Kemp,2010-2010,1,1,0,4,4,4,8,50,0,0,0,0,0
Litton Das,2023-2023,1,1,0,4,4,4,4,100,0,0,0,1,0
N Wadhera,2023-2024,2,1,0,4,4,4,2,200,0,0,0,1,0
L Balaji,2008-2011,3,1,1,3,3*,-,1,300,0,0,0,0,0
SD Chitnis,2008-2008,1,1,0,3,3,3,4,75,0,0,0,0,0
Imran Tahir,2014-2019,11,1,1,3,3*,-,4,75,0,0,0,0,0
Z Khan,2008-2017,14,2,1,3,2,3,12,25,0,0,0,0,0
DS Kulkarni,2008-2021,7,2,2,3,3*,-,2,150,0,0,0,0,0
M Markande,2018-2024,3,1,0,3,3,3,10,30,0,0,0,0,0
DP Nannes,2010-2010,4,1,0,3,3,3,11,27.27,0,0,0,0,0
R Shukla,2012-2014,3,2,2,3,2*,-,5,60,0,0,0,0,0
AJ Tye,2018-2018,1,1,0,3,3,3,9,33.33,0,0,0,0,0
WPUJC Vaas,2010-2010,1,1,0,3,3,3,8,37.5,0,0,0,0,0
R Vinay Kumar,2008-2014,6,1,0,3,3,3,3,100,0,0,0,0,0
Vishnu Vinod,2017-2017,1,1,0,3,3,3,9,33.33,0,0,0,0,0
CR Woakes,2017-2017,1,1,0,3,3,3,5,60,0,0,0,0,0
AB Barath,2010-2010,1,1,1,2,2*,-,5,40,0,0,0,0,0
TA Boult,2016-2025,13,1,1,2,2*,-,3,66.66,0,0,0,0,0
PVD Chameera,2025-2025,2,2,2,2,2*,-,4,50,0,0,0,0,0
KK Cooper,2012-2013,3,1,0,2,2,2,2,100,0,0,0,0,0
Naveen-ul-Haq,2024-2024,1,1,1,2,2*,-,4,50,0,0,0,0,0
WD Parnell,2014-2014,4,2,1,2,2,2,2,100,0,0,0,0,0
RJ Peterson,2012-2012,1,1,0,2,2,2,2,100,0,0,0,0,0
Ravi Bishnoi,2024-2024,1,1,0,2,2,2,2,100,0,0,0,0,0
M Rawat,2008-2008,1,1,0,2,2,2,4,50,0,0,0,0,0
KV Sharma,2013-2025,5,1,1,2,2*,-,2,100,0,0,0,0,0
RP Singh,2008-2012,3,2,1,2,1*,2,3,66.66,0,0,0,0,0
